Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2828.1545,22.0,5967.375
2.0,2134.9702,23.0,10712.7656
3.0,1886.5981,23.0,16176.7812
4.0,1780.2998,23.0,21671.3125
5.0,1612.9525,21.0,26681.4219
6.0,1408.2375,26.0,31738.9219
7.0,1360.5829,26.0,37015.1094
8.0,1105.3537,26.0,42509.8125
9.0,1105.3537,26.0,47973.0781
10.0,1098.4696,26.0,53061.3594
11.0,1098.4696,26.0,58134.3906
12.0,1098.4696,26.0,63723.0625
13.0,1015.7616,26.0,69811.2188
14.0,1015.7616,26.0,75977.0
15.0,1015.7616,26.0,81814.5781
16.0,994.706,26.0,87824.3594
17.0,958.3159,26.0,93818.3438
18.0,958.3159,26.0,99999.8438
19.0,955.5906,26.0,106509.2812
20.0,955.5906,26.0,112924.6406
21.0,927.3619,26.0,119090.0938
22.0,919.6108,26.0,124662.0469
23.0,862.3749,26.0,130734.5938
24.0,862.3749,26.0,136728.5
25.0,862.3749,26.0,142378.7656
