Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1224.601,3.0,1405681.3281
2.0,1134.9341,4.0,1415858.5469
3.0,984.1392,4.0,1428973.3594
4.0,984.1392,4.0,1445022.7344
5.0,984.1392,4.0,1464912.9219
6.0,933.1781,4.0,1483221.1406
7.0,899.8347,4.0,1505780.9375
8.0,899.8347,4.0,1526539.6094
9.0,899.8347,4.0,1545393.8281
10.0,888.2384,4.0,1566187.4531
11.0,864.8419,4.0,1587026.0156
12.0,831.6635,4.0,1606348.8906
13.0,789.1441,4.0,1623563.9375
14.0,789.1441,4.0,1640952.9531
15.0,746.8545,4.0,1657841.7969
16.0,746.8545,4.0,1678184.2656
17.0,746.8545,4.0,1695507.6562
18.0,746.8545,4.0,1715209.0625
19.0,746.8545,4.0,1735845.5938
20.0,746.8545,4.0,1756356.1875
21.0,746.8545,4.0,1777320.0312
22.0,736.6292,4.0,1801299.0469
23.0,685.4285,4.0,1818603.1719
24.0,685.4285,4.0,1841007.7188
25.0,685.4285,4.0,1860579.0469
