Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1761.5837,11.0,453488.75
2.0,1722.7062,11.0,459514.8125
3.0,1560.6491,11.0,464977.5312
4.0,1411.1562,15.0,470518.9375
5.0,1382.3391,15.0,475872.7656
6.0,1356.291,15.0,481383.0312
7.0,1280.7269,11.0,487143.1406
8.0,1272.698,15.0,493512.375
9.0,1251.4379,15.0,499271.625
10.0,1251.4379,15.0,504562.7344
11.0,1137.7365,15.0,510573.0625
12.0,1107.2498,15.0,516098.2969
13.0,1077.0613,15.0,521670.8906
14.0,1073.2694,15.0,527274.6875
15.0,1073.2694,15.0,532784.7031
16.0,1070.2337,15.0,538201.0625
17.0,1060.5559,15.0,543523.7656
18.0,1060.5559,15.0,549002.8125
19.0,1060.5559,15.0,554262.9531
20.0,1060.5559,15.0,559679.5625
21.0,1060.5559,15.0,565236.6406
22.0,1005.6413,15.0,570590.4375
23.0,1005.6413,15.0,576131.9688
24.0,1005.6413,15.0,581735.7969
25.0,1005.6413,15.0,586964.5625
