Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2384.7906,23.0,112109.2969
2.0,1777.7625,23.0,115137.7812
3.0,1569.9541,23.0,118291.0
4.0,1362.9015,23.0,121584.7188
5.0,1218.4393,23.0,124784.5469
6.0,1085.5148,23.0,127968.8438
7.0,1085.5148,23.0,131309.4062
8.0,1027.1701,23.0,134446.6875
9.0,987.8977,23.0,137740.4219
10.0,987.8977,23.0,140955.875
11.0,951.0809,23.0,144499.5312
12.0,903.2241,23.0,148277.2344
13.0,903.2241,23.0,151914.0781
14.0,903.2241,23.0,155535.4375
15.0,882.0283,23.0,159063.0625
16.0,882.0283,23.0,162762.6562
17.0,869.3616,23.0,166524.5781
18.0,869.3616,23.0,170255.1719
19.0,833.0288,23.0,174126.4531
20.0,833.0288,23.0,177856.9531
21.0,833.0288,23.0,181696.9688
22.0,829.6979,23.0,185896.25
23.0,829.6979,23.0,190454.5469
24.0,829.6979,23.0,194621.8594
25.0,829.6979,23.0,198695.8125
