Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1432.2252,11.0,395545.9844
2.0,1403.8991,11.0,399854.0625
3.0,1318.9253,11.0,404396.625
4.0,1318.9253,11.0,409126.4531
5.0,1318.9253,11.0,413606.0938
6.0,1283.4704,11.0,418164.1094
7.0,1183.7213,11.0,422987.6719
8.0,1133.8373,11.0,427732.8438
9.0,1128.8429,11.0,432353.0938
10.0,1082.3742,11.0,437629.7188
11.0,1044.587,11.0,442733.8125
12.0,1044.587,11.0,447869.3281
13.0,1044.587,11.0,452864.1875
14.0,1042.2522,11.0,458156.0625
15.0,1042.2522,11.0,463041.3906
16.0,1042.132,11.0,468270.875
17.0,1004.5392,11.0,473671.8906
18.0,1004.5392,11.0,478822.7344
19.0,1004.5392,11.0,484380.0781
20.0,1004.5392,11.0,489593.2656
21.0,1004.5392,11.0,494916.1719
22.0,994.1612,11.0,500301.4688
23.0,994.1612,11.0,505921.0781
24.0,994.1612,11.0,511040.4531
25.0,976.3171,11.0,516300.9531
