Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,660.7216,3.0,8856.4375
2.0,641.7772,3.0,16834.8906
3.0,629.2534,3.0,27905.0312
4.0,629.2534,3.0,43440.8125
5.0,629.2534,3.0,61878.4062
6.0,621.5818,3.0,83422.4531
7.0,618.8153,3.0,104932.1406
8.0,618.8153,3.0,128691.8594
9.0,603.0589,3.0,151464.9375
10.0,591.5566,3.0,175817.1562
11.0,591.5566,3.0,199277.1562
12.0,591.5566,3.0,222331.7969
13.0,591.5566,3.0,248511.8438
14.0,591.5566,3.0,272720.0
15.0,591.5566,3.0,295023.9062
16.0,591.5566,3.0,321032.8281
17.0,591.5566,3.0,345522.4219
18.0,591.5566,3.0,371294.7812
19.0,591.5566,3.0,395518.9844
20.0,591.5566,3.0,423150.9844
21.0,591.5566,3.0,447123.3281
22.0,591.5566,3.0,470302.4531
23.0,591.5566,3.0,494982.375
24.0,591.5566,3.0,521301.4219
25.0,591.5566,3.0,547275.0781
