Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1677.5268,10.0,593848.6406
2.0,1563.2639,10.0,599811.8125
3.0,1433.9508,10.0,606071.4688
4.0,1423.5206,10.0,612612.0781
5.0,1402.5858,10.0,619214.9062
6.0,1400.2051,10.0,626348.9219
7.0,1372.9011,10.0,633294.9062
8.0,1312.4411,11.0,640287.9531
9.0,1312.4411,11.0,647062.2031
10.0,1250.6345,10.0,653992.9219
11.0,1232.4172,11.0,661907.8594
12.0,1208.7969,11.0,668712.4375
13.0,1196.3585,11.0,675596.25
14.0,1186.4229,10.0,682229.9844
15.0,1154.3099,11.0,688895.2188
16.0,1154.3099,11.0,696326.0469
17.0,1154.3099,11.0,703631.1094
18.0,1154.3099,11.0,710311.2812
19.0,1154.3099,11.0,716851.4844
20.0,1116.3968,11.0,723673.0625
21.0,1116.3968,11.0,730634.9844
22.0,1116.3968,11.0,737737.3906
23.0,1113.1389,11.0,744667.7812
24.0,1111.5273,11.0,751988.9688
25.0,1105.5751,11.0,759028.5156
