Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,676.2637,3.0,553545.4531
2.0,660.7216,3.0,559867.7812
3.0,655.2218,3.0,566830.1875
4.0,642.6981,3.0,574948.2344
5.0,639.0291,3.0,586721.3594
6.0,618.3491,3.0,603803.3281
7.0,591.5566,3.0,624364.3594
8.0,591.5566,3.0,645375.0312
9.0,591.5566,3.0,665822.75
10.0,591.5566,3.0,685005.4062
11.0,591.5566,3.0,704564.3281
12.0,591.5566,3.0,723388.5
13.0,591.5566,3.0,744307.1562
14.0,591.5566,3.0,765364.3438
15.0,591.5566,3.0,784421.3906
16.0,591.5566,3.0,802652.2969
17.0,591.5566,3.0,819743.4375
18.0,591.5566,3.0,839163.8125
19.0,591.5566,3.0,857316.2656
20.0,591.5566,3.0,874485.5938
21.0,591.5566,3.0,892171.5312
22.0,591.5566,3.0,908888.2031
23.0,591.5566,3.0,927433.9688
24.0,591.5566,3.0,946852.9062
25.0,591.5566,3.0,966364.7188
