Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1794.8335,10.0,817827.1406
2.0,1794.8335,10.0,823978.2344
3.0,1794.8335,10.0,830393.9531
4.0,1667.576,10.0,837418.7812
5.0,1613.3899,10.0,844255.5
6.0,1538.6305,10.0,851576.7812
7.0,1487.3195,10.0,859131.9531
8.0,1292.3918,10.0,866421.2656
9.0,1290.1955,10.0,873726.4688
10.0,1290.1955,10.0,880250.4062
11.0,1191.6839,10.0,888009.5
12.0,1191.6839,10.0,894939.2344
13.0,1182.4807,10.0,901588.5469
14.0,1176.0064,10.0,908706.8906
15.0,1149.7674,10.0,915465.3906
16.0,1142.7156,10.0,922505.5
17.0,1133.5941,10.0,929342.2031
18.0,1133.5941,10.0,936147.8594
19.0,1104.001,10.0,942891.0469
20.0,1104.001,10.0,949165.5469
21.0,1094.1017,10.0,955565.5156
22.0,1073.0706,10.0,962152.8594
23.0,1065.0985,10.0,969865.0156
24.0,1065.0985,10.0,976951.0469
25.0,1044.7478,10.0,984490.8281
