Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,894.9273,3.0,1871806.375
2.0,894.9273,3.0,1881595.0781
3.0,855.6482,3.0,1893054.0312
4.0,823.7473,3.0,1906386.3125
5.0,799.8258,3.0,1922982.3438
6.0,769.2125,3.0,1944746.9844
7.0,754.0927,3.0,1970131.4531
8.0,712.9253,3.0,1994184.1719
9.0,702.45,3.0,2020660.0938
10.0,700.9074,3.0,2045649.2188
11.0,652.7762,3.0,2071296.0781
12.0,632.2807,3.0,2098317.2812
13.0,632.2807,3.0,2124696.4844
14.0,632.2807,3.0,2150966.9531
15.0,632.2807,3.0,2178065.6562
16.0,624.1695,3.0,2206382.2812
17.0,622.9612,3.0,2235150.8125
18.0,615.5986,3.0,2264137.6406
19.0,611.2767,3.0,2305702.375
20.0,611.2767,3.0,2362317.0312
21.0,606.1791,3.0,2417432.25
22.0,606.1791,3.0,2472673.9375
23.0,606.1791,3.0,2525040.5312
24.0,606.1791,3.0,2586222.4844
25.0,602.1812,3.0,2637426.875
