Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2997.5756,19.0,4076.9688
2.0,2259.2172,19.0,7980.2969
3.0,2124.1997,19.0,12445.1406
4.0,1768.456,23.0,17268.7969
5.0,1619.027,23.0,22670.2031
6.0,1464.6415,20.0,28071.0625
7.0,1343.767,23.0,33096.9062
8.0,1250.7866,23.0,38545.0
9.0,1199.7952,23.0,43227.0312
10.0,1172.5869,23.0,46925.4844
11.0,1058.714,23.0,50687.4062
12.0,1058.714,23.0,55183.6406
13.0,1058.714,23.0,59554.1406
14.0,1058.714,23.0,63706.0156
15.0,1058.714,23.0,67779.9844
16.0,1058.714,23.0,72010.2812
17.0,1058.714,23.0,76240.4219
18.0,1049.8355,23.0,80204.9375
19.0,1048.0811,23.0,84419.7188
20.0,1025.0739,23.0,88368.6094
21.0,1025.0739,23.0,92302.1719
22.0,1013.6969,23.0,96516.9844
23.0,1013.6969,23.0,100653.3906
24.0,1013.6969,23.0,105368.0
25.0,1013.6969,23.0,108800.7812
