Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2462.9878,14.0,163560.8281
2.0,2060.9585,14.0,170180.0312
3.0,1941.3519,16.0,176767.1562
4.0,1784.1931,14.0,183932.4375
5.0,1575.5784,14.0,191050.2656
6.0,1526.7833,17.0,198152.5156
7.0,1434.3891,17.0,205067.2812
8.0,1379.1368,17.0,212638.4844
9.0,1307.7961,17.0,219443.4062
10.0,1248.5096,17.0,226295.9688
11.0,1248.5096,17.0,233101.6094
12.0,1203.4031,17.0,240047.9219
13.0,1190.5081,17.0,246978.4688
14.0,1181.0534,17.0,253643.4062
15.0,1122.9078,17.0,260183.6094
16.0,1122.9078,17.0,266927.0625
17.0,1122.9078,17.0,273935.9375
18.0,1104.1047,17.0,280897.6719
19.0,1104.1047,17.0,287796.9531
20.0,1102.8067,17.0,294665.0469
21.0,1097.1953,17.0,301564.4219
22.0,1097.1953,17.0,308401.2656
23.0,1081.6265,17.0,315378.7969
24.0,1081.6265,17.0,322606.1875
25.0,1081.6265,17.0,329473.9531
