Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1084.442,4.0,3463337.4531
2.0,1005.0689,4.0,3471314.4531
3.0,1005.0689,4.0,3479618.9688
4.0,907.0153,4.0,3488782.5312
5.0,907.0153,4.0,3498382.7344
6.0,831.6924,4.0,3510216.875
7.0,771.1928,4.0,3522173.7812
8.0,753.0272,4.0,3535708.6875
9.0,744.857,9.0,3547398.2656
10.0,730.7734,9.0,3560261.5625
11.0,730.7734,9.0,3573389.3125
12.0,728.1439,4.0,3587126.1719
13.0,704.273,4.0,3599315.5469
14.0,654.766,4.0,3611647.0938
15.0,651.2818,9.0,3623916.0
16.0,651.2818,9.0,3637294.3438
17.0,651.2818,9.0,3648109.0781
18.0,624.3394,9.0,3658832.625
19.0,624.3394,9.0,3669181.2656
20.0,621.1421,9.0,3679374.0312
21.0,621.1421,9.0,3687801.3281
22.0,617.9274,9.0,3699527.2656
23.0,603.5781,9.0,3708593.6562
24.0,602.7074,9.0,3718756.4531
25.0,601.9633,9.0,3732308.7812
