Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,981.2139,3.0,4556508.4688
2.0,933.7564,3.0,4565860.8125
3.0,897.3906,3.0,4577054.5781
4.0,876.7178,3.0,4589309.0
5.0,876.7178,3.0,4603796.7344
6.0,834.9971,3.0,4619938.4844
7.0,834.9971,3.0,4640047.3281
8.0,809.2135,3.0,4658761.5781
9.0,704.2963,3.0,4679430.3438
10.0,690.1073,3.0,4700440.9062
11.0,669.4054,3.0,4719123.0
12.0,669.4054,3.0,4739916.7969
13.0,669.4054,3.0,4758849.1094
14.0,652.9632,3.0,4778423.9062
15.0,647.1989,3.0,4798763.6875
16.0,626.5783,3.0,4824805.8281
17.0,626.5783,3.0,4852811.0156
18.0,626.5783,3.0,4879017.3594
19.0,626.5783,3.0,4910491.125
20.0,626.5783,3.0,4940428.375
21.0,626.5783,3.0,4971992.1562
22.0,617.8498,3.0,5000569.9375
23.0,617.8498,3.0,5029103.8281
24.0,613.4432,3.0,5056903.3906
25.0,613.4432,3.0,5086469.3125
