Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1033.4467,3.0,3740231.0156
2.0,962.9445,3.0,3748912.2812
3.0,911.9004,4.0,3759747.3438
4.0,818.5426,3.0,3772345.875
5.0,797.2395,3.0,3787208.2656
6.0,738.3139,3.0,3803709.0156
7.0,733.6984,3.0,3822145.625
8.0,698.3452,3.0,3840689.6719
9.0,698.3452,3.0,3860702.3594
10.0,653.7018,4.0,3878666.7031
11.0,653.7018,4.0,3897101.8438
12.0,653.7018,4.0,3915724.0156
13.0,653.7018,4.0,3936080.375
14.0,639.8622,4.0,3955372.5
15.0,639.8622,4.0,3975915.6875
16.0,636.7025,3.0,4002363.8594
17.0,636.7025,3.0,4028884.2812
18.0,636.7025,3.0,4054560.8594
19.0,634.3595,4.0,4074535.1406
20.0,634.3595,4.0,4094827.6562
21.0,634.3595,4.0,4115322.9688
22.0,619.0593,4.0,4136364.9375
23.0,618.0601,3.0,4156843.8906
24.0,618.0601,3.0,4178729.6406
25.0,618.0601,3.0,4199926.4844
