Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1613.0741,11.0,298815.2188
2.0,1587.7717,11.0,304310.2656
3.0,1490.8863,11.0,309695.3906
4.0,1388.8451,11.0,315393.125
5.0,1388.8451,11.0,321074.9219
6.0,1378.0985,11.0,327147.3594
7.0,1368.8422,11.0,333328.7812
8.0,1314.5588,11.0,339494.4688
9.0,1302.8496,11.0,345566.4062
10.0,1226.254,11.0,351716.5938
11.0,1210.4993,11.0,358241.6875
12.0,1193.6309,11.0,364657.0312
13.0,1152.4857,11.0,370931.8594
14.0,1152.4857,11.0,377847.4531
15.0,1122.0877,11.0,384028.0312
16.0,1122.0877,11.0,390256.2188
17.0,1122.0877,11.0,396328.1094
18.0,1112.5205,11.0,402509.5312
19.0,1109.8263,11.0,408706.4688
20.0,1102.7575,11.0,414606.5156
21.0,1075.8259,11.0,420913.0938
22.0,1075.8259,11.0,427438.0469
23.0,1075.8259,11.0,435103.3906
24.0,1075.8259,11.0,441408.2188
25.0,1075.8259,11.0,447948.7812
