Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1007.0952,4.0,8169.5
2.0,1007.0952,4.0,15882.4531
3.0,1002.5823,4.0,25609.1094
4.0,971.555,4.0,36911.875
5.0,859.7653,4.0,52056.7969
6.0,859.7653,4.0,69088.5312
7.0,804.4043,4.0,87024.6094
8.0,715.1808,4.0,105537.8906
9.0,715.1808,4.0,124378.75
10.0,691.677,4.0,141891.1406
11.0,691.677,4.0,160592.3594
12.0,658.8045,4.0,178261.1406
13.0,647.8223,4.0,196712.2031
14.0,647.8223,4.0,215256.2344
15.0,647.8223,4.0,234456.4219
16.0,640.4704,4.0,252234.0781
17.0,610.8769,4.0,270778.7812
18.0,605.215,4.0,289760.2188
19.0,605.215,4.0,308459.9688
20.0,592.8707,4.0,330503.75
21.0,592.8707,4.0,351450.4375
22.0,592.8707,4.0,370804.4688
23.0,592.8707,4.0,393160.0938
24.0,592.8707,4.0,415137.7188
25.0,592.8707,4.0,437084.4688
