Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1890.7106,11.0,557227.7812
2.0,1758.3127,11.0,562348.4688
3.0,1722.5335,11.0,567937.0938
4.0,1593.2419,11.0,573712.75
5.0,1502.0952,11.0,579613.2188
6.0,1502.0952,11.0,585701.0625
7.0,1461.9001,11.0,592069.9688
8.0,1399.9511,11.0,598407.3438
9.0,1399.9511,11.0,604479.125
10.0,1355.9658,11.0,610629.2969
11.0,1351.1988,11.0,616732.5156
12.0,1196.7086,11.0,622710.7812
13.0,1195.6192,11.0,628751.6719
14.0,1195.6192,11.0,634698.75
15.0,1195.6192,11.0,640520.9219
16.0,1154.2394,11.0,646468.2188
17.0,1148.0931,11.0,652071.6406
18.0,1138.3438,11.0,658050.4062
19.0,1138.3438,11.0,663778.7969
20.0,1138.3438,11.0,669476.1875
21.0,1138.3438,11.0,675361.1094
22.0,1116.9053,11.0,680948.9688
23.0,1116.9053,11.0,686677.75
24.0,1116.9053,11.0,692547.0156
25.0,1116.9053,11.0,698478.625
