Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2390.5849,20.0,6264.3594
2.0,1921.1535,21.0,11165.6094
3.0,1632.8317,21.0,16879.4375
4.0,1395.8031,20.0,22404.9844
5.0,1167.0991,21.0,27915.0781
6.0,1167.0991,21.0,33768.9375
7.0,1160.682,21.0,39575.5781
8.0,1087.9575,21.0,45257.2656
9.0,1001.8422,21.0,51626.5625
10.0,974.461,21.0,57526.4531
11.0,974.461,21.0,63504.9219
12.0,974.461,21.0,69873.9219
13.0,963.8184,21.0,76601.9375
14.0,925.8684,21.0,83048.3281
15.0,868.5573,20.0,89620.0
16.0,861.1248,21.0,96207.1719
17.0,861.1248,21.0,102278.7031
18.0,854.314,20.0,108694.4844
19.0,854.314,20.0,115922.4531
20.0,854.314,20.0,122712.0938
21.0,829.6979,21.0,129439.6719
22.0,828.9369,20.0,136339.1875
23.0,828.9369,20.0,143097.9062
24.0,828.9369,20.0,150091.1406
25.0,828.9369,20.0,157349.7656
