Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2946.2797,21.0,6076.8125
2.0,2408.5607,18.0,11915.7969
3.0,2063.3057,18.0,18081.8281
4.0,1802.3806,19.0,23935.0312
5.0,1495.1409,19.0,29897.9219
6.0,1364.1895,19.0,35970.0625
7.0,1364.1895,19.0,42339.0
8.0,1219.6548,19.0,48582.625
9.0,1219.6548,19.0,54560.75
10.0,1214.4074,19.0,61086.0156
11.0,1194.4113,19.0,67438.8594
12.0,1156.0664,19.0,73588.75
13.0,1118.0264,19.0,79910.7188
14.0,1118.0264,19.0,86045.0156
15.0,1118.0264,19.0,92413.875
16.0,1110.9898,19.0,98766.875
17.0,1094.9276,19.0,105385.5156
18.0,1094.9276,19.0,111566.3906
19.0,1094.9276,19.0,117747.7031
20.0,1094.0818,19.0,124163.3906
21.0,1094.0818,19.0,130797.5938
22.0,1075.1556,19.0,137431.5781
23.0,1075.1556,19.0,143846.8125
24.0,1075.1556,19.0,150012.2656
25.0,1075.1556,19.0,156631.0938
