Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,968.3975,3.0,2654265.3594
2.0,968.3975,3.0,2670468.0938
3.0,968.3975,3.0,2687529.9844
4.0,940.9477,4.0,2699606.6719
5.0,868.2226,4.0,2707875.8281
6.0,837.8638,4.0,2716992.5469
7.0,797.9041,4.0,2728920.9219
8.0,784.1428,4.0,2740158.9844
9.0,734.8132,4.0,2752007.1094
10.0,678.6671,10.0,2763870.25
11.0,649.948,10.0,2775702.125
12.0,645.4848,3.0,2787455.9062
13.0,645.4848,3.0,2799506.6406
14.0,645.4848,3.0,2810416.4531
15.0,632.5513,4.0,2821749.2812
16.0,627.4615,4.0,2833753.5625
17.0,627.4615,4.0,2845632.1719
18.0,627.4615,4.0,2859901.5312
19.0,627.4615,4.0,2870762.25
20.0,627.4615,4.0,2883907.625
21.0,613.078,10.0,2896753.8438
22.0,613.078,10.0,2916053.4844
23.0,613.078,10.0,2934846.6719
24.0,613.078,10.0,2951218.4844
25.0,613.078,10.0,2969483.3438
