Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1448.7203,11.0,5123.4844
2.0,1401.6639,11.0,9744.875
3.0,1381.6996,11.0,14224.625
4.0,1299.3501,11.0,19063.875
5.0,1282.2501,11.0,23887.1719
6.0,1282.2501,11.0,29132.3438
7.0,1282.2501,11.0,34580.2188
8.0,1243.2106,11.0,40152.8906
9.0,1180.8811,11.0,45553.5625
10.0,1135.9613,11.0,50813.7812
11.0,1129.0574,11.0,56183.5156
12.0,1129.0574,11.0,61615.6406
13.0,1129.0574,11.0,67407.0781
14.0,1110.914,11.0,73401.2812
15.0,1094.5214,11.0,79160.9062
16.0,1039.1321,11.0,85014.5156
17.0,1039.1321,11.0,90664.9062
18.0,1039.1321,11.0,96096.75
19.0,1039.1321,11.0,101294.4375
20.0,1032.7181,11.0,106586.1094
21.0,1032.7181,11.0,113877.6875
22.0,1012.3058,11.0,120011.0156
23.0,1012.3058,11.0,125348.625
24.0,1012.3058,11.0,130624.5312
25.0,1012.3058,11.0,135978.625
