Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1512.8836,10.0,6373.2031
2.0,1512.8836,10.0,11290.5
3.0,1512.8836,10.0,16488.7031
4.0,1512.8836,10.0,21858.5
5.0,1512.8836,10.0,27509.375
6.0,1408.9653,15.0,33800.5938
7.0,1401.3247,15.0,39575.5469
8.0,1267.9182,15.0,45444.7656
9.0,1229.6533,15.0,51048.2656
10.0,1164.5644,15.0,56698.9062
11.0,1164.5644,15.0,62443.25
12.0,1144.5989,15.0,68312.5
13.0,1116.4134,15.0,74462.875
14.0,1092.3827,15.0,80472.3438
15.0,1088.2296,15.0,86263.2031
16.0,1045.2724,15.0,92007.4062
17.0,1000.232,15.0,97704.7812
18.0,990.5792,15.0,103605.3281
19.0,990.5792,15.0,109521.2969
20.0,982.8029,15.0,115374.75
21.0,969.3391,15.0,121400.1406
22.0,938.594,15.0,128815.9844
23.0,938.594,15.0,135261.6875
24.0,938.594,15.0,141364.6094
25.0,938.594,15.0,147030.375
