Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2843.859,16.0,6654.8125
2.0,2408.5537,19.0,12024.5938
3.0,1716.8444,19.0,17909.8438
4.0,1669.6615,19.0,24091.4531
5.0,1597.2136,19.0,30475.8906
6.0,1535.488,19.0,36766.375
7.0,1403.1467,19.0,43291.3281
8.0,1282.8175,19.0,49331.6719
9.0,1282.8175,19.0,55700.625
10.0,1243.9826,19.0,61928.625
11.0,1240.6481,19.0,68141.1406
12.0,1213.7952,19.0,74072.4219
13.0,1196.8544,19.0,80191.4844
14.0,1163.9817,19.0,86357.2344
15.0,1149.968,19.0,92757.3125
16.0,1126.0604,19.0,99641.5312
17.0,1118.5304,19.0,105712.7656
18.0,1098.7628,19.0,112066.0625
19.0,1098.7628,19.0,118169.0781
20.0,1077.5452,19.0,124928.5781
21.0,1076.728,19.0,131421.8281
22.0,1076.728,19.0,138165.3281
23.0,1063.506,19.0,144424.1875
24.0,1050.1515,19.0,150886.6875
25.0,1044.9145,19.0,157833.3438
