Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1494.0715,4.0,13042.3594
2.0,1450.1014,4.0,23221.3281
3.0,1300.7597,4.0,35086.1406
4.0,1174.1066,4.0,48277.3906
5.0,1060.7826,4.0,65514.1875
6.0,1027.5743,4.0,85262.5625
7.0,996.7431,4.0,106211.5469
8.0,927.2691,4.0,127221.8281
9.0,902.26,4.0,149263.2812
10.0,847.1701,4.0,169053.7344
11.0,847.1701,4.0,189893.2969
12.0,847.1701,4.0,211513.0625
13.0,833.9797,4.0,234866.4219
14.0,820.6064,4.0,256811.7969
15.0,820.6064,4.0,278289.8281
16.0,815.528,4.0,299612.0781
17.0,802.8532,4.0,323450.1094
18.0,802.8532,4.0,347645.0
19.0,755.782,4.0,368152.0156
20.0,755.782,4.0,391772.125
21.0,755.782,4.0,417514.1094
22.0,754.926,4.0,440082.0938
23.0,745.2051,4.0,463668.875
24.0,744.7142,4.0,486707.7656
25.0,697.4167,4.0,510200.3281
