Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2287.3304,20.0,163200.5781
2.0,2145.5422,20.0,168117.8906
3.0,1838.4457,20.0,172831.7188
4.0,1511.2403,20.0,178014.5
5.0,1460.1611,20.0,183071.8125
6.0,1377.9723,20.0,188332.375
7.0,1284.6036,17.0,193577.1094
8.0,1228.0203,17.0,199399.9844
9.0,1116.5262,18.0,205175.4062
10.0,1116.5262,18.0,211013.375
11.0,1116.5262,18.0,216632.5312
12.0,1116.5262,18.0,222220.6562
13.0,1116.5262,18.0,230668.1875
14.0,1116.5262,18.0,237034.7344
15.0,1110.0737,18.0,242809.6094
16.0,1076.2808,18.0,248147.5625
17.0,1076.2808,18.0,253860.9844
18.0,1060.1335,18.0,259995.8906
19.0,1060.1335,18.0,265958.5
20.0,1029.1118,20.0,272015.0312
21.0,1029.1118,20.0,277915.2188
22.0,1024.1017,20.0,284315.5625
23.0,983.0412,20.0,290496.6562
24.0,964.0755,20.0,296552.9531
25.0,964.0755,20.0,303421.9062
