Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1094.9724,12.0,8778.2344
2.0,1094.9724,12.0,13584.9688
3.0,1094.9724,12.0,18611.4062
4.0,1094.9724,12.0,23840.75
5.0,1094.9724,12.0,29601.1406
6.0,1094.9724,12.0,35642.25
7.0,1094.9724,12.0,41714.3281
8.0,1067.4252,12.0,47880.125
9.0,1024.6238,12.0,54420.8125
10.0,1024.6238,12.0,60789.2812
11.0,1024.6238,12.0,67095.4062
12.0,993.1255,12.0,74510.9688
13.0,993.1255,12.0,81066.0469
14.0,993.1255,12.0,87434.4844
15.0,948.3076,12.0,93756.2344
16.0,948.3076,12.0,101203.0312
17.0,883.6304,12.0,108539.3281
18.0,883.6304,12.0,115031.9844
19.0,883.6304,12.0,121728.6094
20.0,883.6304,12.0,128300.0312
21.0,883.6304,12.0,136043.4531
22.0,883.6304,12.0,143395.0781
23.0,883.6304,12.0,150309.5938
24.0,877.7173,12.0,157146.4219
25.0,868.0547,12.0,164233.3281
