Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2012.3165,11.0,1099919.2344
2.0,1899.9171,11.0,1105305.2344
3.0,1828.7173,11.0,1111268.5938
4.0,1771.0048,11.0,1117418.875
5.0,1686.632,11.0,1124037.7188
6.0,1664.7288,11.0,1131077.9688
7.0,1581.287,11.0,1138711.5469
8.0,1500.5761,11.0,1145782.0312
9.0,1479.7175,11.0,1152540.5781
10.0,1478.1043,11.0,1159065.0625
11.0,1466.4832,11.0,1165527.2812
12.0,1445.1147,11.0,1172302.0625
13.0,1445.1147,11.0,1180795.2812
14.0,1421.0588,11.0,1189083.6562
15.0,1421.0588,11.0,1197137.8594
16.0,1421.0588,11.0,1205645.4219
17.0,1407.0647,11.0,1214121.2812
18.0,1385.3768,11.0,1222612.7969
19.0,1367.5195,11.0,1231073.0469
20.0,1367.5195,11.0,1239455.2031
21.0,1360.2634,11.0,1247790.5625
22.0,1358.1632,11.0,1256188.4688
23.0,1358.1632,11.0,1264445.6875
24.0,1358.1632,11.0,1273578.0469
25.0,1356.07,11.0,1282131.4062
