Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1894.8592,8.0,234945.5625
2.0,1806.9294,10.0,242717.9531
3.0,1567.6224,9.0,250569.5469
4.0,1433.8511,10.0,257639.7969
5.0,1364.1532,9.0,264867.1094
6.0,1364.1532,9.0,271563.0
7.0,1283.5282,9.0,279056.2969
8.0,1283.5282,9.0,286814.4219
9.0,1283.5282,9.0,293447.2812
10.0,1283.5282,9.0,301206.2656
11.0,1232.6663,9.0,308182.875
12.0,1232.6663,9.0,316519.6406
13.0,1185.1906,9.0,324464.4062
14.0,1185.1906,9.0,331456.4688
15.0,1185.1906,9.0,338761.9688
16.0,1185.1906,9.0,345942.1562
17.0,1185.1906,9.0,353888.0938
18.0,1185.1906,9.0,360958.25
19.0,1185.1906,9.0,368091.8125
20.0,1185.1906,9.0,375678.4219
21.0,1185.1906,9.0,383030.2031
22.0,1185.1906,9.0,389866.5938
23.0,1176.2074,10.0,397578.5
24.0,1161.2413,10.0,405023.9062
25.0,1161.2413,10.0,412375.8281
