Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1853.4015,11.0,8389.25
2.0,1766.9436,11.0,16179.1094
3.0,1621.7087,16.0,25327.5625
4.0,1547.3807,16.0,34021.5312
5.0,1446.3338,16.0,42575.3281
6.0,1352.6345,16.0,50926.1406
7.0,1308.199,16.0,59339.6562
8.0,1304.9527,16.0,71581.2344
9.0,1263.6812,16.0,95084.6094
10.0,1248.0456,16.0,108811.0938
11.0,1204.9091,16.0,121969.2188
12.0,1204.9091,16.0,134518.5469
13.0,1204.5149,16.0,146834.1094
14.0,1203.3955,16.0,154321.7812
15.0,1162.2405,16.0,162017.4062
16.0,1149.6799,16.0,169853.4531
17.0,1149.6799,16.0,177861.2344
18.0,1149.5512,16.0,190337.5938
19.0,1136.2727,16.0,197981.3594
20.0,1110.4793,16.0,206083.0781
21.0,1110.4793,16.0,214324.9688
22.0,1110.4793,16.0,222332.3438
23.0,1110.4793,16.0,230996.1875
24.0,1110.4793,16.0,239159.3906
25.0,1108.968,16.0,247682.4844
