Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1786.9451,10.0,152821.0469
2.0,1571.4851,14.0,158612.6562
3.0,1397.7378,14.0,164544.3594
4.0,1397.7378,14.0,169960.2969
5.0,1364.6134,14.0,175454.875
6.0,1305.1069,14.0,181230.625
7.0,1257.1887,14.0,186912.3438
8.0,1230.2823,14.0,192453.5312
9.0,1185.2574,14.0,197526.1094
10.0,1121.9967,14.0,202942.9062
11.0,1066.2144,14.0,208843.7344
12.0,1044.3377,14.0,214572.2031
13.0,1044.3377,14.0,220597.7188
14.0,1044.3377,14.0,226372.9219
15.0,1038.539,14.0,232195.2812
16.0,1036.735,14.0,237970.7031
17.0,996.1605,14.0,244121.1719
18.0,996.1605,14.0,250583.7656
19.0,973.0028,14.0,256671.0469
20.0,971.6555,14.0,262758.7031
21.0,971.6555,14.0,268377.6094
22.0,949.8832,14.0,274293.8594
23.0,949.8832,14.0,280272.3125
24.0,949.8832,14.0,286594.4531
25.0,949.8832,14.0,292603.75
