Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1127.4452,12.0,171288.1875
2.0,1127.4452,12.0,176109.7969
3.0,1127.4452,12.0,180792.4688
4.0,1121.369,12.0,185912.7812
5.0,1121.369,12.0,191126.4062
6.0,1121.369,12.0,196668.0469
7.0,1121.369,12.0,202240.6406
8.0,1104.4466,22.0,208172.5625
9.0,1030.2736,25.0,213885.375
10.0,975.8467,25.0,220176.5312
11.0,975.8467,25.0,226373.3594
12.0,938.8219,25.0,232335.9062
13.0,938.8219,25.0,238767.4375
14.0,913.2223,25.0,244979.75
15.0,913.2223,25.0,251020.4062
16.0,901.2396,25.0,256998.7344
17.0,901.2396,25.0,262461.5
18.0,833.0113,25.0,267065.4062
19.0,833.0113,25.0,271998.2969
20.0,829.6979,25.0,277008.9844
21.0,829.6979,25.0,282050.8438
22.0,829.6979,25.0,287014.5469
23.0,829.6979,25.0,292165.8281
24.0,829.6979,25.0,297035.6719
25.0,829.6979,25.0,302421.4219
