Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1854.5888,8.0,12325.0312
2.0,1780.705,8.0,20909.5469
3.0,1685.0382,8.0,30057.1875
4.0,1569.5345,10.0,39094.9219
5.0,1478.0562,10.0,48664.0
6.0,1357.603,10.0,57638.7969
7.0,1322.864,10.0,66832.9375
8.0,1290.8242,10.0,75808.1094
9.0,1274.9098,10.0,85033.5
10.0,1241.1906,10.0,94024.2656
11.0,1218.5852,10.0,103109.0
12.0,1188.9201,10.0,111740.5469
13.0,1175.3773,10.0,120403.7656
14.0,1138.4693,10.0,128801.3594
15.0,1138.4693,10.0,137339.8281
16.0,1131.4722,10.0,146425.0312
17.0,1124.4753,10.0,155259.6875
18.0,1116.2796,10.0,163907.0938
19.0,1101.449,10.0,172429.6875
20.0,1094.6335,10.0,181280.5312
21.0,1094.6335,10.0,190115.4219
22.0,1094.6335,10.0,198856.5781
23.0,1061.6178,10.0,207207.2031
24.0,1025.6894,10.0,215948.8438
25.0,1023.5522,10.0,225361.9688
