Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1890.7106,11.0,702612.9844
2.0,1782.1207,11.0,706702.9375
3.0,1655.1826,11.0,710995.7188
4.0,1539.7764,11.0,715757.0469
5.0,1363.6811,19.0,720908.5312
6.0,1363.6811,19.0,725809.625
7.0,1345.7848,19.0,731070.3438
8.0,1258.8253,19.0,736080.7031
9.0,1205.2542,19.0,740794.4375
10.0,1205.2542,19.0,745227.2188
11.0,1205.2542,19.0,749738.4062
12.0,1205.2542,19.0,753874.5
13.0,1167.0188,19.0,757932.875
14.0,1155.9609,19.0,762272.5625
15.0,1152.8417,19.0,766752.5938
16.0,1135.0389,19.0,770919.9844
17.0,1135.0389,19.0,775259.5625
18.0,1135.0389,19.0,779958.3438
19.0,1135.0389,19.0,783953.6406
20.0,1099.6661,19.0,788793.3906
21.0,1091.8624,19.0,793272.9219
22.0,1091.8624,19.0,797830.9375
23.0,1091.8624,19.0,802232.625
24.0,1091.8624,19.0,806962.5938
25.0,1091.8624,19.0,811348.4844
