Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1345.7695,4.0,518394.9531
2.0,1180.5062,4.0,526231.0938
3.0,963.3718,4.0,535973.25
4.0,896.1748,4.0,548713.5
5.0,889.3469,4.0,566935.1094
6.0,889.3469,4.0,587948.1406
7.0,857.1485,4.0,608302.1094
8.0,824.2165,4.0,627047.3594
9.0,824.2165,4.0,647809.8438
10.0,824.2165,4.0,666820.3125
11.0,812.7105,4.0,687551.2812
12.0,812.7105,4.0,709452.4062
13.0,809.552,4.0,729539.8594
14.0,809.552,4.0,749754.125
15.0,782.0777,4.0,766827.625
16.0,764.6459,4.0,788513.6719
17.0,764.6459,4.0,807913.8438
18.0,764.6459,4.0,826660.0469
19.0,709.5197,4.0,845610.0312
20.0,709.5197,4.0,864778.5469
21.0,709.5197,4.0,880384.375
22.0,709.5197,4.0,899368.75
23.0,709.5197,4.0,916896.625
24.0,709.5197,4.0,936613.4531
25.0,680.3728,4.0,953703.0938
