Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2101.8433,9.0,802388.4062
2.0,2020.1011,11.0,807071.8125
3.0,1940.7736,11.0,811832.75
4.0,1854.609,11.0,817124.8594
5.0,1796.1163,11.0,823025.8125
6.0,1754.6739,11.0,828832.4062
7.0,1688.3418,11.0,834670.3438
8.0,1688.3418,11.0,840258.25
9.0,1683.19,11.0,846033.9062
10.0,1662.8154,11.0,851778.125
11.0,1642.2353,11.0,857819.25
12.0,1642.2353,11.0,864203.8281
13.0,1611.51,11.0,870525.5625
14.0,1578.6975,11.0,876878.6094
15.0,1578.6975,11.0,883169.125
16.0,1566.2455,11.0,889459.7031
17.0,1556.6253,11.0,895859.6562
18.0,1556.6253,11.0,902400.125
19.0,1556.6253,11.0,909081.0781
20.0,1555.058,11.0,915355.6406
21.0,1539.1953,11.0,921552.4844
22.0,1521.8318,11.0,927765.0312
23.0,1521.8318,11.0,933696.3125
24.0,1521.8318,11.0,940112.25
25.0,1521.8318,11.0,946230.8281
