Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1677.5268,10.0,765052.3594
2.0,1677.5268,10.0,772015.4375
3.0,1677.5268,10.0,778508.4688
4.0,1676.7813,12.0,784751.9688
5.0,1628.935,12.0,790730.0938
6.0,1354.1798,12.0,797114.7344
7.0,1354.1798,12.0,803608.3438
8.0,1354.1798,12.0,809492.4688
9.0,1271.0089,12.0,815517.8125
10.0,1205.2218,12.0,822855.5469
11.0,1176.0131,12.0,829363.8281
12.0,1176.0131,12.0,835716.6875
13.0,1176.0131,12.0,841929.0781
14.0,1176.0131,12.0,847938.4844
15.0,1176.0131,12.0,853698.0938
16.0,1176.0131,12.0,860661.0781
17.0,1176.0131,12.0,867216.6094
18.0,1176.0131,12.0,873569.4219
19.0,1163.4602,12.0,879906.8125
20.0,1163.4602,12.0,885837.9688
21.0,1105.8375,12.0,892222.6562
22.0,1089.9325,12.0,898263.1406
23.0,1089.9325,12.0,904085.2031
24.0,1089.9325,12.0,909641.8906
25.0,1089.9325,12.0,915464.4531
