Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1073.473,3.0,2977025.9062
2.0,977.4039,3.0,2984941.875
3.0,894.6192,3.0,2994824.5781
4.0,865.664,3.0,3006220.9375
5.0,829.5938,3.0,3020053.2812
6.0,813.4663,3.0,3036601.9375
7.0,783.518,3.0,3055554.125
8.0,781.692,3.0,3074347.6562
9.0,730.1774,3.0,3092485.0938
10.0,730.1774,3.0,3111341.9375
11.0,713.0092,3.0,3132041.8125
12.0,711.6951,3.0,3152130.4688
13.0,664.8888,3.0,3172719.7344
14.0,664.8888,3.0,3192980.375
15.0,664.8888,3.0,3212960.0938
16.0,664.8888,3.0,3232268.2188
17.0,664.8888,3.0,3251623.8906
18.0,659.2502,3.0,3271135.7656
19.0,639.0346,3.0,3293303.7344
20.0,639.0346,3.0,3320031.5469
21.0,639.0346,3.0,3345536.0469
22.0,639.0346,3.0,3372557.3906
23.0,628.3543,3.0,3401952.2188
24.0,621.2115,3.0,3429438.4219
25.0,621.2115,3.0,3455629.6562
