Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2170.0898,9.0,951333.6719
2.0,2017.1416,11.0,957203.9688
3.0,1871.3193,16.0,962948.0938
4.0,1766.2349,16.0,968692.3438
5.0,1712.7259,16.0,974249.0938
6.0,1704.9994,16.0,980149.7812
7.0,1656.0365,16.0,986112.625
8.0,1629.1198,16.0,992903.5312
9.0,1629.1198,16.0,998974.8594
10.0,1604.3045,16.0,1005156.2812
11.0,1604.3045,16.0,1011290.7188
12.0,1598.1796,16.0,1017081.4531
13.0,1598.1796,16.0,1022731.9062
14.0,1598.1796,16.0,1028538.75
15.0,1598.1796,16.0,1035095.4375
16.0,1587.4399,16.0,1040948.25
17.0,1578.5545,16.0,1047114.2656
18.0,1578.5545,16.0,1053217.4688
19.0,1578.5545,16.0,1059070.7344
20.0,1578.5545,16.0,1064924.25
21.0,1552.3656,16.0,1070918.3906
22.0,1536.3878,16.0,1076599.8906
23.0,1536.3878,16.0,1082234.8281
24.0,1508.2281,16.0,1088135.4219
25.0,1508.2281,16.0,1093973.2812
