Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1473.8921,12.0,307446.0781
2.0,1363.4667,12.0,311707.875
3.0,1363.4667,12.0,315984.8594
4.0,1356.1941,12.0,320464.9531
5.0,1275.3928,12.0,325397.9688
6.0,1211.7056,12.0,330580.5312
7.0,1120.9679,12.0,335669.0938
8.0,1120.9679,12.0,340789.0
9.0,1120.9679,12.0,345862.0
10.0,1120.9679,12.0,350810.0469
11.0,1120.9679,12.0,356008.2188
12.0,1101.751,12.0,361299.875
13.0,1091.7787,12.0,366482.0938
14.0,1067.5528,12.0,371680.0312
15.0,1067.5528,12.0,376877.9531
16.0,1067.5528,12.0,382044.625
17.0,1060.1999,12.0,387164.4531
18.0,1039.0189,12.0,392206.2031
19.0,1039.0189,12.0,397529.2812
20.0,1037.7052,12.0,402586.4375
21.0,1004.0179,12.0,407706.3906
22.0,986.6257,12.0,412904.3906
23.0,986.6257,12.0,418274.1875
24.0,986.6257,12.0,423659.4375
25.0,986.6257,12.0,429122.7969
