Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1106.1277,4.0,442515.125
2.0,955.6559,4.0,448869.5469
3.0,913.6173,4.0,456988.1875
4.0,877.6514,4.0,465355.0625
5.0,877.6514,4.0,477174.8125
6.0,783.8725,4.0,491053.6094
7.0,783.8725,4.0,507633.4688
8.0,773.8983,4.0,522648.125
9.0,772.1542,4.0,541289.3438
10.0,659.4603,4.0,559489.4375
11.0,659.4603,4.0,576768.0938
12.0,638.9076,4.0,593578.9219
13.0,627.7519,4.0,609452.7188
14.0,627.7519,4.0,625889.9531
15.0,627.7519,4.0,643420.375
16.0,627.7519,4.0,658527.8281
17.0,627.7519,4.0,675450.2031
18.0,627.7519,4.0,690511.3906
19.0,627.7519,4.0,706574.4375
20.0,627.7519,4.0,722480.2344
21.0,627.7519,4.0,738776.8125
22.0,627.7519,4.0,753744.875
23.0,627.7519,4.0,767073.6406
24.0,627.7519,4.0,782950.9219
25.0,627.7519,4.0,796888.1562
