Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1471.256,11.0,272043.7812
2.0,1471.256,11.0,276243.3125
3.0,1399.4024,12.0,280457.8594
4.0,1399.4024,12.0,284688.0156
5.0,1395.1501,12.0,289105.6562
6.0,1377.784,12.0,293679.3594
7.0,1354.8802,12.0,298487.2812
8.0,1299.8387,12.0,303373.0938
9.0,1272.6568,12.0,308290.0781
10.0,1272.6568,12.0,313222.6562
11.0,1145.6108,12.0,318342.7188
12.0,1145.6108,12.0,323228.2188
13.0,1145.6108,12.0,327895.2031
14.0,1137.2659,12.0,332687.4062
15.0,1118.2149,12.0,337838.8594
16.0,1103.8618,12.0,343036.8125
17.0,1103.8618,12.0,348953.5
18.0,1088.4096,12.0,354244.4531
19.0,1076.5026,12.0,359317.2812
20.0,1052.1306,12.0,364530.9531
21.0,1052.074,12.0,369728.8594
22.0,1052.074,12.0,375098.6562
23.0,1004.6382,12.0,380421.4062
24.0,963.606,12.0,385634.8281
25.0,963.606,12.0,390832.7344
