Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2139.7562,16.0,309179.375
2.0,1852.4969,16.0,314409.2656
3.0,1697.7505,16.0,319919.6562
4.0,1596.1495,16.0,324914.1406
5.0,1519.1922,16.0,330206.0156
6.0,1433.0129,16.0,335638.2031
7.0,1346.4686,16.0,340789.0312
8.0,1299.2686,16.0,345752.625
9.0,1204.6508,16.0,350857.0312
10.0,1204.6508,16.0,355976.9219
11.0,1169.9192,16.0,361471.7969
12.0,1163.5777,16.0,366919.4219
13.0,1163.5777,16.0,372554.5938
14.0,1163.5777,16.0,378564.5781
15.0,1140.628,16.0,384308.5469
16.0,1099.4692,16.0,390834.0625
17.0,1099.4692,16.0,396952.5312
18.0,1092.7488,16.0,404462.0312
19.0,1075.6547,16.0,410782.6406
20.0,1075.6547,16.0,417041.9375
21.0,1075.6547,16.0,423957.5469
22.0,1075.6547,16.0,430716.25
23.0,1053.4521,16.0,437553.2344
24.0,1053.4521,16.0,444233.8906
25.0,1053.4521,16.0,450383.4531
