Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1983.2292,16.0,521749.875
2.0,1593.081,16.0,527477.7344
3.0,1456.7759,16.0,533425.125
4.0,1417.5632,16.0,538825.4219
5.0,1406.7794,16.0,545132.5156
6.0,1311.6863,16.0,551329.3281
7.0,1258.7728,16.0,557010.625
8.0,1247.5766,16.0,562848.6875
9.0,1218.2016,16.0,569561.5938
10.0,1211.0359,16.0,576023.625
11.0,1189.1402,16.0,581657.7812
12.0,1153.0038,16.0,588136.5156
13.0,1153.0038,16.0,594239.4062
14.0,1128.37,16.0,600780.1562
15.0,1090.2198,16.0,607086.125
16.0,1071.7158,16.0,614001.6875
17.0,1071.7158,16.0,620369.7656
18.0,1071.7158,16.0,626925.8906
19.0,1071.7158,16.0,633700.5781
20.0,1071.7158,16.0,640303.1719
21.0,1067.1914,16.0,646843.4375
22.0,1055.3895,16.0,653821.2656
23.0,1055.3895,16.0,660861.1562
24.0,1022.7894,16.0,667588.4844
25.0,1022.7894,16.0,674675.4844
