Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1055.101,3.0,4207045.6094
2.0,990.3399,3.0,4214570.0
3.0,978.1517,3.0,4223499.9688
4.0,970.7276,3.0,4232491.0312
5.0,921.0644,3.0,4242622.6562
6.0,782.5068,3.0,4255534.3906
7.0,677.6973,3.0,4269474.5938
8.0,677.6973,3.0,4284179.3906
9.0,677.6973,3.0,4299117.7969
10.0,677.6973,3.0,4313102.8438
11.0,677.6973,3.0,4327713.8438
12.0,677.6973,3.0,4344636.7188
13.0,677.6973,3.0,4359088.5312
14.0,677.6973,3.0,4372027.1875
15.0,669.8314,3.0,4386201.7188
16.0,669.8314,3.0,4402031.2969
17.0,669.8314,3.0,4416937.3281
18.0,669.8314,3.0,4432000.5312
19.0,669.8314,3.0,4446172.9531
20.0,667.9605,4.0,4461486.8906
21.0,667.9605,4.0,4481580.9375
22.0,667.9605,4.0,4500888.9531
23.0,667.9605,4.0,4517463.375
24.0,661.6583,3.0,4531540.5312
25.0,651.0126,3.0,4547729.5625
