Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1990.5398,11.0,1290575.4688
2.0,1873.0103,11.0,1296755.0156
3.0,1723.5762,15.0,1303123.8281
4.0,1607.9728,16.0,1309664.3281
5.0,1607.9728,16.0,1316610.9062
6.0,1497.3496,15.0,1323353.9531
7.0,1497.3496,15.0,1329972.2031
8.0,1496.8779,15.0,1336699.9531
9.0,1480.537,15.0,1342802.5938
10.0,1471.3867,15.0,1349812.1094
11.0,1450.4794,15.0,1357336.3438
12.0,1440.8768,16.0,1363906.9375
13.0,1428.4024,15.0,1370790.9844
14.0,1389.6203,15.0,1377284.0938
15.0,1389.6203,15.0,1384058.8438
16.0,1389.6203,15.0,1390145.8125
17.0,1389.6203,15.0,1397155.3438
18.0,1389.6203,15.0,1403460.8281
19.0,1389.6203,15.0,1410126.3906
20.0,1389.6203,15.0,1417182.2188
21.0,1389.6203,15.0,1424097.0156
22.0,1389.6203,15.0,1430558.8594
23.0,1389.6203,15.0,1437052.3906
24.0,1389.6203,15.0,1443295.8906
25.0,1368.9984,15.0,1450274.0
