Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1794.8335,10.0,989404.7344
2.0,1702.7028,11.0,994040.8594
3.0,1681.1953,11.0,998848.7188
4.0,1582.3495,14.0,1003437.6562
5.0,1485.8175,14.0,1009058.0625
6.0,1367.408,11.0,1014146.1875
7.0,1342.4341,14.0,1018734.8438
8.0,1269.2379,12.0,1023777.125
9.0,1264.0647,12.0,1028318.9531
10.0,1246.8353,11.0,1032908.1562
11.0,1246.8353,11.0,1037606.6875
12.0,1243.0042,11.0,1042508.2344
13.0,1208.0145,14.0,1047003.3281
14.0,1197.4631,14.0,1051764.4531
15.0,1185.7157,14.0,1056478.4375
16.0,1185.7157,14.0,1061083.0938
17.0,1150.3724,12.0,1065640.9844
18.0,1150.3724,12.0,1070183.2969
19.0,1150.3724,12.0,1074944.3594
20.0,1150.3724,12.0,1079673.9844
21.0,1150.3724,12.0,1084559.875
22.0,1150.3724,12.0,1089554.9844
23.0,1150.3724,12.0,1094424.9844
24.0,1125.2111,12.0,1099591.9844
25.0,1096.8402,12.0,1105102.4375
